DF,8001101040,504,AEFC,500,9100,7FF,FFFC,9100,1000,01
01,00A0009004,504,AEFC,504,9100,7FF,0504,9100,1000,02
02,0104009420,505,AEFC,504,9501,7FF,0504,9100,1000,03
03,0002009001,505,9501,504,9501,7FF,0504,9100,1000,04
04,8109804002,505,9501,504,9501,7FF,0504,9100,1000,09
09,800C404002,505,9501,504,9501,7FF,0504,9100,1000,0C
0C,8024084002,505,9501,504,9501,7FF,0504,9100,1000,24
24,8026804002,505,9501,504,9501,7FF,0504,9100,1000,25
25,814A404002,505,9501,504,9501,7FF,0504,9100,1000,26
26,0080009001,505,9501,501,9501,7FF,0504,9100,1000,27
27,0100000000,505,9501,501,9101,7FF,0504,9100,1000,28
28,813C804002,505,9501,501,9101,7FF,0504,9100,1000,3C
3C,8143204002,505,9501,501,9101,7FF,0504,9100,1000,3D
3D,81E0104002,505,9501,501,9101,7FF,0504,9100,1000,E0
E0,80C4804002,505,9501,501,9101,7FF,0504,9100,1000,E1
E1,81C4404002,505,9501,501,9101,7FF,0504,9100,1000,E2
E2,81C4204002,505,9501,501,9101,7FF,0504,9100,1000,E3
E3,80C4104002,505,9501,501,9101,7FF,0504,9100,1000,E4
E4,0001009611,505,9501,501,0001,7FF,0504,9100,1000,E5
E5,8055101040,505,9501,501,0001,7FF,0504,9100,1000,55
55,0200000000,505,9501,501,0001,7FF,0504,9100,1000,56
56,80C4101040,505,9501,501,0001,7FF,0504,9100,1000,C4
C4,80DE801040,505,9501,501,0001,7FF,0504,9100,1000,C5
C5,8001401040,505,9501,501,0001,7FF,0504,9100,1000,01
